wl a b c rmse
1910 0.170125118 0.068292696 4.008e-6 0.087463036
1920 0.002141706 0.163874991 2e-9 0
1930 0.002136524 0.163082994 3e-9 0
1940 0.002122167 0.160898707 1e-9 0
1950 0.002114369 0.159718558 0 0
1960 0.002105867 0.158436632 0 0
1970 0.002094668 0.156750845 2.4e-8 3e-9
1980 0.002087101 0.155623227 9e-9 2e-9
1990 0.002081448 0.154781938 6e-9 1e-9
2000 0.002068767 0.152895998 4.4e-8 4e-9
2010 0.002055335 0.150916571 5e-8 4e-9
2020 0.002058416 0.151372449 2.5e-8 2e-9
2030 0.002067571 0.152725419 4e-9 1e-9
2040 0.00206973 0.153044677 3e-9 1e-9
2050 0.002066225 0.152526028 7e-9 1e-9
2060 0.002063169 0.152075315 6e-9 1e-9
2070 0.002063853 0.15217601 7e-9 1e-9
2080 0.002066882 0.152623904 3e-9 1e-9
2090 0.002069512 0.15301263 3e-9 1e-9
2100 0.002071573 0.153317494 3e-9 1e-9
2110 0.00207144 0.153297862 3e-9 1e-9
2120 0.002069834 0.153060267 3e-9 1e-9
2130 0.002071318 0.153279902 3e-9 1e-9
2140 0.002074295 0.153720821 3e-9 1e-9
2150 0.002076947 0.154113938 4e-9 1e-9
2160 0.002078651 0.154366987 4e-9 1e-9
2170 0.002081206 0.154746635 5e-9 1e-9
2180 0.002081909 0.154851205 5e-9 1e-9
2190 0.002081281 0.15475782 5e-9 1e-9
2200 0.00208363 0.155107027 7e-9 1e-9
2210 0.002091835 0.156331188 6e-9 1e-9
2220 0.002106936 0.158595995 8e-9 2e-9
2230 0.002116851 0.16009179 9e-9 2e-9
2240 0.002119601 0.160507805 1e-8 2e-9
2250 0.002118314 0.160312928 1.1e-8 2e-9
2260 0.002122886 0.16100529 1.3e-8 3e-9
2270 0.002129325 0.161982995 1.6e-8 3e-9
2280 0.002130897 0.162222383 1.6e-8 3e-9
2290 0.002133513 0.162620325 1.9e-8 3e-9
2300 0.002133463 0.162612427 2.1e-8 4e-9
2310 0.002140965 0.163758367 1.9e-8 4e-9
2320 0.00214891 0.16497302 3.6e-8 5e-9
2330 0.002152708 0.165558282 2.8e-8 5e-9
2340 0.002150809 0.16526398 4.2e-8 6e-9
2350 0.002149985 0.165135545 5.4e-8 7e-9
2360 0.002157947 0.166363296 4e-8 6e-9
2370 0.00216797 0.167902665 1.02e-7 1e-8
2380 0.002172421 0.168594629 8.9e-8 1e-8
2390 0.002174211 0.168872066 9.4e-8 1e-8
2400 0.002176057 0.169161526 7.8e-8 9e-9
2410 0.002185637 0.170670671 0 0
2420 0.002198776 0.172729031 0 0
2430 0.002209669 0.174418451 1.36e-7 1.5e-8
2440 0.002211464 0.174699946 1.53e-7 1.6e-8
2450 0.002216237 0.175484225 1e-9 0
2460 0.002225091 0.176889573 0 0
2470 0.002238897 0.179091834 1e-9 0
2480 0.002250372 0.180932703 5e-9 0
2490 0.002254998 0.181677203 1.7e-8 1e-9
2500 0.002267229 0.183654848 9e-9 1e-9
